tube,species,mean_temp,temp_var,temp_id,resource,male,removed,KBP,missing,mortality_day,lifespan,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,notes
291,daphnia,15,0,15,1,,,,,5/17/22,42,,86,,,1,133,1,
292,daphnia,15,0,15,1,,,,,4/15/22,10,,46,,,NA,NA,,
293,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,92,,,0,NA,,
294,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,89,,,0,NA,,
295,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,87,,,0,NA,,
296,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,89,,,0,NA,,
297,daphnia,15,0,15,1,,,,1,NA,NA,4/11/22,NA,,,NA,NA,,
298,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,78,,,0,NA,,
299,daphnia,15,0,15,1,,,,,5/20/22,45,,87,,,1,122,1,
300,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,87,,,0,NA,,
301,daphnia,15,0,15,1,,,,,5/19/22,44,,88,,,1,150,1,
302,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,89,,,0,NA,,
303,daphnia,15,0,15,1,,,,,5/13/22,38,,NA,,,1,100,1,
304,daphnia,15,0,15,1,,,,,5/21/22,46,,79,,,1,118,1,
305,daphnia,15,0,15,1,,,,,4/14/22,9,,35,,,NA,NA,,
306,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,84,,,0,NA,,
307,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,82,,,0,NA,,
308,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,88,,,0,NA,,
309,daphnia,15,0,15,1,,,,,5/13/22,38,,86,,,1,86,1,
310,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,95,,,0,NA,,
311,daphnia,15,0,15,1,,1,,,NA,NA,5/18/22,87,,,0,NA,,
