tube,temp,temp_var,mean_temp,resource,species,exposed
405,20,0,20,0.5,D,1
406,20,0,20,0.5,D,1
407,20,0,20,0.5,D,1
408,20,0,20,0.5,D,1
409,20,0,20,0.5,D,1
410,20,0,20,0.5,D,1
411,20,0,20,0.5,D,1
412,20,0,20,0.5,D,1
413,20,0,20,0.5,D,1
414,20,0,20,0.5,D,1
415,20,0,20,0.5,D,1
416,20,0,20,0.5,D,1
417,20,0,20,0.5,D,1
418,20,0,20,0.5,D,1
419,20,0,20,0.5,D,1
420,20,0,20,0.5,D,1
421,20,0,20,1,D,0
422,20,0,20,1,D,0
423,20,0,20,1,D,0
424,20,0,20,1,D,0
425,20,0,20,1,D,0
426,20,0,20,1,D,0
427,20,0,20,1,D,0
428,20,0,20,1,D,0
429,20,0,20,1,D,0
430,20,0,20,1,D,0
431,20,0,20,1,D,0
432,20,0,20,1,D,0
433,20,0,20,1,D,0
434,20,0,20,1,D,0
435,20,0,20,1,D,0
436,20,0,20,1,D,1
437,20,0,20,1,D,1
438,20,0,20,1,D,1
439,20,0,20,1,D,1
440,20,0,20,1,D,1
441,20,0,20,1,D,1
442,20,0,20,1,D,1
443,20,0,20,1,D,1
444,20,0,20,1,D,1
445,20,0,20,1,D,1
446,20,0,20,1,D,1
447,20,0,20,1,D,1
448,20,0,20,1,D,1
449,20,0,20,1,D,1
450,20,0,20,1,D,1
451,20,0,20,1,D,1
452,20,0,20,1,D,1
453,20,0,20,1,D,1
454,20,0,20,1,D,1
455,20,0,20,1,D,1
456,20,0,20,1,D,1
457,20,0,20,1,D,1
458,20,0,20,1,D,1
459,20,0,20,1,D,1
460,20,0,20,1,D,1
461,20,0,20,1,D,1
462,20,0,20,1,D,1
463,20,0,20,1,D,1
464,20,0,20,1,D,1
465,20,0,20,1,D,1
466,25,0,25,0.1,D,0
467,25,0,25,0.1,D,0
468,25,0,25,0.1,D,0
469,25,0,25,0.1,D,0
470,25,0,25,0.1,D,0
471,25,0,25,0.1,D,0
472,25,0,25,0.1,D,0
473,25,0,25,0.1,D,0
474,25,0,25,0.1,D,0
475,25,0,25,0.1,D,0
476,25,0,25,0.1,D,0
477,25,0,25,0.1,D,0
478,25,0,25,0.1,D,0
479,25,0,25,0.1,D,0
480,25,0,25,0.1,D,0
481,25,0,25,0.1,D,1
482,25,0,25,0.1,D,1
483,25,0,25,0.1,D,1
484,25,0,25,0.1,D,1
485,25,0,25,0.1,D,1
486,25,0,25,0.1,D,1
487,25,0,25,0.1,D,1
488,25,0,25,0.1,D,1
489,25,0,25,0.1,D,1
490,25,0,25,0.1,D,1
491,25,0,25,0.1,D,1
492,25,0,25,0.1,D,1
493,25,0,25,0.1,D,1
494,25,0,25,0.1,D,1
495,25,0,25,0.1,D,1
496,25,0,25,0.1,D,1
497,25,0,25,0.1,D,1
498,25,0,25,0.1,D,1
499,25,0,25,0.1,D,1
500,25,0,25,0.1,D,1
501,25,0,25,0.1,D,1
502,25,0,25,0.1,D,1
503,25,0,25,0.1,D,1
504,25,0,25,0.1,D,1
505,25,0,25,0.1,D,1
506,25,0,25,0.1,D,1
507,25,0,25,0.1,D,1
508,25,0,25,0.1,D,1
509,25,0,25,0.1,D,1
510,25,0,25,0.1,D,1
511,25,0,25,0.5,D,0
512,25,0,25,0.5,D,0
513,25,0,25,0.5,D,0
514,25,0,25,0.5,D,0
515,25,0,25,0.5,D,0
516,25,0,25,0.5,D,0
517,25,0,25,0.5,D,0
518,25,0,25,0.5,D,0
519,25,0,25,0.5,D,0
520,25,0,25,0.5,D,0
521,25,0,25,0.5,D,0
522,25,0,25,0.5,D,0
523,25,0,25,0.5,D,0
524,25,0,25,0.5,D,0
525,25,0,25,0.5,D,0
526,25,0,25,0.5,D,1
527,25,0,25,0.5,D,1
528,25,0,25,0.5,D,1
529,25,0,25,0.5,D,1
530,25,0,25,0.5,D,1
531,25,0,25,0.5,D,1
532,25,0,25,0.5,D,1
533,25,0,25,0.5,D,1
534,25,0,25,0.5,D,1
535,25,0,25,0.5,D,1
536,25,0,25,0.5,D,1
537,25,0,25,0.5,D,1
538,25,0,25,0.5,D,1
539,25,0,25,0.5,D,1
540,25,0,25,0.5,D,1
541,25,0,25,0.5,D,1
