date,plate,resource,temp,well_number,sample,read
3/6/2023,5,1,15,86,R,3935
3/6/2023,5,1,15,87,R,3762
3/6/2023,5,1,15,88,0,2699
3/6/2023,5,1,15,89,R,3212
3/6/2023,5,1,15,90,R,3185
3/6/2023,5,1,15,91,R,3422
3/6/2023,5,1,15,92,0,2644
3/6/2023,5,1,15,93,R,3116
3/6/2023,5,1,15,94,R,3532
3/6/2023,5,1,15,95,R,3469
3/6/2023,5,1,15,96,0,2675
3/6/2023,6,1,15,1,76,6210
3/6/2023,6,1,15,2,76,4531
3/6/2023,6,1,15,3,76,4369
3/6/2023,6,1,15,4,0,2407
3/6/2023,6,1,15,5,81,4339
3/6/2023,6,1,15,6,81,4760
3/6/2023,6,1,15,7,81,4889
3/6/2023,6,1,15,8,0,2468
3/6/2023,6,1,15,9,86,4706
3/6/2023,6,1,15,10,86,4913
3/6/2023,6,1,15,11,86,4647
3/6/2023,6,1,15,12,0,2509
3/6/2023,6,1,15,13,77,3829
3/6/2023,6,1,15,14,77,6011
3/6/2023,6,1,15,15,77,5438
3/6/2023,6,1,15,16,0,2408
3/6/2023,6,1,15,17,82,5982
3/6/2023,6,1,15,18,82,7117
3/6/2023,6,1,15,19,82,6796
3/6/2023,6,1,15,20,0,2523
3/6/2023,6,1,15,21,87,7334
3/6/2023,6,1,15,22,87,8383
3/6/2023,6,1,15,23,87,6208
3/6/2023,6,1,15,24,0,2442
3/6/2023,6,1,15,25,78,5941
3/6/2023,6,1,15,26,78,7406
3/6/2023,6,1,15,27,78,6748
3/6/2023,6,1,15,28,0,2458
3/6/2023,6,1,15,29,83,6777
3/6/2023,6,1,15,30,83,6175
3/6/2023,6,1,15,31,83,4503
3/6/2023,6,1,15,32,0,2405
3/6/2023,6,1,15,33,88,7956
3/6/2023,6,1,15,34,88,5466
3/6/2023,6,1,15,35,88,5686
3/6/2023,6,1,15,36,0,2496
3/6/2023,6,1,15,37,79,8419
3/6/2023,6,1,15,38,79,5602
3/6/2023,6,1,15,39,79,7106
3/6/2023,6,1,15,40,0,2465
3/6/2023,6,1,15,41,84,7246
3/6/2023,6,1,15,42,84,6440
3/6/2023,6,1,15,43,84,6568
3/6/2023,6,1,15,44,0,2378
3/6/2023,6,1,15,45,89,5981
3/6/2023,6,1,15,46,89,7393
3/6/2023,6,1,15,47,89,6117
3/6/2023,6,1,15,48,0,2502
3/6/2023,6,1,15,49,80,5945
3/6/2023,6,1,15,50,80,6111
3/6/2023,6,1,15,51,80,5873
3/6/2023,6,1,15,52,0,2247
3/6/2023,6,1,15,53,85,5634
3/6/2023,6,1,15,54,85,5808
3/6/2023,6,1,15,55,85,5338
3/6/2023,6,1,15,56,0,2401
3/6/2023,6,1,15,57,90,4468
3/6/2023,6,1,15,58,90,4445
3/6/2023,6,1,15,59,90,4391
3/6/2023,6,1,15,60,0,2485
3/6/2023,6,1,15,61,C1,4709
3/6/2023,6,1,15,62,C1,4115
3/6/2023,6,1,15,63,C1,4202
3/6/2023,6,1,15,64,0,2402
3/6/2023,6,1,15,65,C2,4296
3/6/2023,6,1,15,66,C2,4414
3/6/2023,6,1,15,67,C2,4741
3/6/2023,6,1,15,68,0,2399
3/6/2023,6,1,15,69,C3,4410
3/6/2023,6,1,15,70,C3,4172
3/6/2023,6,1,15,71,C3,4108
3/6/2023,6,1,15,72,0,2377
3/6/2023,6,1,15,73,C4,4774
3/6/2023,6,1,15,74,C4,5590
3/6/2023,6,1,15,75,C4,5110
3/6/2023,6,1,15,76,0,2524
3/6/2023,6,1,15,77,C5,4033
3/6/2023,6,1,15,78,C5,5608
3/6/2023,6,1,15,79,C5,6323
3/6/2023,6,1,15,80,0,2379
3/6/2023,6,1,15,81,C6,5290
3/6/2023,6,1,15,82,C6,4051
3/6/2023,6,1,15,83,C6,4607
3/6/2023,6,1,15,84,0,2472
3/6/2023,6,1,15,85,R,3282
3/6/2023,6,1,15,86,R,3028
3/6/2023,6,1,15,87,R,2897
3/6/2023,6,1,15,88,0,2448
3/6/2023,6,1,15,89,R,3190
3/6/2023,6,1,15,90,R,3139
3/6/2023,6,1,15,91,R,3261
3/6/2023,6,1,15,92,0,2546
3/6/2023,6,1,15,93,R,3156
3/6/2023,6,1,15,94,R,3089
3/6/2023,6,1,15,95,R,3379
3/6/2023,6,1,15,96,0,2483
3/6/2023,7,0.1,20,1,91,3967
3/6/2023,7,0.1,20,2,91,4176
3/6/2023,7,0.1,20,3,91,4163
3/6/2023,7,0.1,20,4,0,2632
3/6/2023,7,0.1,20,5,96,5193
3/6/2023,7,0.1,20,6,96,4567
3/6/2023,7,0.1,20,7,96,2748
3/6/2023,7,0.1,20,8,0,2469
3/6/2023,7,0.1,20,9,101,3505
3/6/2023,7,0.1,20,10,101,4045
3/6/2023,7,0.1,20,11,101,4306
3/6/2023,7,0.1,20,12,0,2450
3/6/2023,7,0.1,20,13,92,3635
3/6/2023,7,0.1,20,14,92,5313
3/6/2023,7,0.1,20,15,92,5764
3/6/2023,7,0.1,20,16,0,2763
3/6/2023,7,0.1,20,17,97,5823
3/6/2023,7,0.1,20,18,97,7554
3/6/2023,7,0.1,20,19,97,2882
3/6/2023,7,0.1,20,20,0,2650
3/6/2023,7,0.1,20,21,102,7879
3/6/2023,7,0.1,20,22,102,4311
3/6/2023,7,0.1,20,23,102,4434
3/6/2023,7,0.1,20,24,0,2702
3/6/2023,7,0.1,20,25,93,3572
3/6/2023,7,0.1,20,26,93,3470
3/6/2023,7,0.1,20,27,93,5426
3/6/2023,7,0.1,20,28,0,2605
3/6/2023,7,0.1,20,29,98,4738
3/6/2023,7,0.1,20,30,98,4862
3/6/2023,7,0.1,20,31,98,4395
3/6/2023,7,0.1,20,32,0,2576
3/6/2023,7,0.1,20,33,103,5827
3/6/2023,7,0.1,20,34,103,6345
3/6/2023,7,0.1,20,35,103,5287
3/6/2023,7,0.1,20,36,0,2600
3/6/2023,7,0.1,20,37,94,3943
3/6/2023,7,0.1,20,38,94,5214
3/6/2023,7,0.1,20,39,94,5198
3/6/2023,7,0.1,20,40,0,2434
3/6/2023,7,0.1,20,41,99,5741
3/6/2023,7,0.1,20,42,99,5384
3/6/2023,7,0.1,20,43,99,6182
3/6/2023,7,0.1,20,44,0,2674
3/6/2023,7,0.1,20,45,104,6287
3/6/2023,7,0.1,20,46,104,4577
